age,AMI_total_n,AMI_total_mean,AMI_total_SD,GDS_total_n,GDS_total_mean,GDS_total_SD,REY_copy_score_n,REY_copy_score_mean,REY_copy_score_SD,REY_copy_nMove_n,REY_copy_nMove_mean,REY_copy_nMove_SD,REY_recall_score_n,REY_recall_score_mean,REY_recall_score_SD,REY_recall_nMove_n,REY_recall_nMove_mean,REY_recall_nMove_SD,OIS_ImmediateObjectAccuracy_n,OIS_ImmediateObjectAccuracy_mean,OIS_ImmediateObjectAccuracy_SD,OIS_DelayedObjectAccuracy_n,OIS_DelayedObjectAccuracy_mean,OIS_DelayedObjectAccuracy_SD,OIS_ImmediateSemanticAccuracy_n,OIS_ImmediateSemanticAccuracy_mean,OIS_ImmediateSemanticAccuracy_SD,OIS_DelayedSemanticAccuracy_n,OIS_DelayedSemanticAccuracy_mean,OIS_DelayedSemanticAccuracy_SD,OIS_ImmediateLocationError_n,OIS_ImmediateLocationError_mean,OIS_ImmediateLocationError_SD,OIS_DelayedLocationError_n,OIS_DelayedLocationError_mean,OIS_DelayedLocationError_SD,OMT_ProportionCorrect_n,OMT_ProportionCorrect_mean,OMT_ProportionCorrect_SD,OMT_AbsoluteError_n,OMT_AbsoluteError_mean,OMT_AbsoluteError_SD,OMT_TargetDetection_n,OMT_TargetDetection_mean,OMT_TargetDetection_SD,OMT_Misbinding_n,OMT_Misbinding_mean,OMT_Misbinding_SD,OMT_Guessing_n,OMT_Guessing_mean,OMT_Guessing_SD,OMT_Imprecision_n,OMT_Imprecision_mean,OMT_Imprecision_SD,OMT_IdentificationTime_n,OMT_IdentificationTime_mean,OMT_IdentificationTime_SD,OMT_LocalisationTime_n,OMT_LocalisationTime_mean,OMT_LocalisationTime_SD,DSST_nCorrectResponse_n,DSST_nCorrectResponse_mean,DSST_nCorrectResponse_SD,TMT_A_n,TMT_A_mean,TMT_A_SD,TMT_B_n,TMT_B_mean,TMT_B_SD,CORSI_mean_n,CORSI_mean_mean,CORSI_mean_SD
28,37,1.55855855855856,0.406974927427376,37,6.10810810810811,1.66305915882922,64,91.9317030701248,1.16457071550445,67,17.7313432835821,3.76016637910514,64,88.287518871854,5.47559754313327,65,16.8307692307692,3.33339743528108,65,98.1497975708502,3.1379472892095,63,81.40664160401,15.1989918422126,66,100,NaN,64,88.6276726973684,12.0149873979184,67,0.810923446055394,0.341284201253369,63,1.5309259323355,0.951805194368405,62,0.915684372220875,0.0528038787614455,62,120.359705419602,40.2868551205453,61,0.754868240067382,0.113578667541869,62,0.26748843803056,0.0944006091818994,61,0.119303274169029,0.0672861850563769,62,79.2035904794229,21.6426614319159,60,1.6240647730453,0.379781658455094,61,2.00380354110992,0.556480998512868,46,53.6086956521739,11.5286662250035,60,19.2350061111111,4.66600041876236,60,27.2771044444444,7.79149901248787,37,5.36262255006029,2.00995871870688
29,38,1.58625730994152,0.424613382496089,38,6.44736842105263,1.79635318896824,64,92.0115629750885,1.28516758741614,67,17.5671641791045,3.87385909146365,63,89.4001610146346,4.53055180824502,65,16.7230769230769,3.38889589462636,64,97.9646381578947,3.30360113760882,65,79.8127530364373,14.5707775746739,66,100,NaN,65,88.8795546558705,10.6496803827355,66,0.793007649620334,0.324058361369896,64,1.48474088724153,0.803171093184122,67,0.919993079714211,0.0530503820709422,68,116.704069882291,38.9656160733827,67,0.767002977593237,0.111124867129848,68,0.253981199690403,0.0957357724321942,67,0.113314084464894,0.0648449742453893,68,77.3755273162835,23.0324406586437,66,1.62211068983939,0.376861711618625,67,1.94328170304569,0.536081318672818,50,55.46,12.5425154525538,61,18.7832644808743,5.04885945929731,61,26.9634278688525,8.52541709211492,38,5.55295521720784,2.45124831380329
30,39,1.63532763532764,0.418620152018008,39,6.41025641025641,1.72776016729218,62,92.0195913569853,1.21539008055321,63,17.4761904761905,3.84312181090532,60,89.2991499983398,4.69942944161433,62,16.8225806451613,3.39490550605302,59,98.0463871543265,3.22308816662037,61,80.8714408973253,12.3642715121754,62,100,NaN,60,90.3289473684211,8.2759046726112,63,0.77888457351101,0.280760323490425,61,1.43401672061064,0.675204265017484,67,0.922547974413646,0.0497271819490084,66,110.588095434592,35.3570855660219,68,0.772773419946926,0.109368913795749,67,0.241352796543598,0.0942650980110458,68,0.111172129588678,0.0618767074628818,67,75.5242158421379,21.5453413002035,67,1.65423252026648,0.384551002133158,68,1.96258794887696,0.568823743536139,44,53.9318181818182,11.8937109182977,55,18.8375363636364,5.26736118983774,55,26.743283030303,8.59975991071909,38,5.35523629856044,2.31199113635527
31,37,1.63813813813814,0.418744125856394,36,6.5,1.76473389333512,59,92.0430949216803,1.21031237951224,59,17.2203389830508,3.78321062613886,57,89.6871776146184,4.26859857215323,58,16.4137931034483,3.31945082521254,56,98.125,3.09875341504817,58,81.2794918330309,11.9742243418058,59,100,NaN,57,90.4385964912281,8.25274314537651,59,0.770329304075779,0.286417418261423,57,1.42294440251068,0.672307135821194,65,0.929909388856757,0.0456830359596343,65,108.172755941491,36.2526759854102,67,0.783693252534321,0.108472023175009,66,0.230116387559809,0.0915311817129747,66,0.103133398268398,0.060361248146475,67,75.1571794887778,25.3321115154241,65,1.65058899478751,0.393945751447575,65,1.96795737171847,0.589079826487738,42,53.3571428571429,11.7241078054048,52,19.1307833333333,5.02474182049548,52,26.7027025641026,8.50441761224595,35,5.17101722163108,2.2001433847123
32,36,1.64814814814815,0.424554959434284,35,6.42857142857143,1.73689571439654,55,92.096192748952,1.11873401017727,55,17.1454545454545,3.9035510036005,54,89.6656849543068,4.4066149269104,55,16.3454545454545,3.39508458312887,51,98.0392156862745,3.1746545280627,52,80.7085020242915,12.5562704408813,53,100,NaN,51,89.5665634674923,9.6137055226633,53,0.777838904351281,0.287974799848602,52,1.51426759893843,0.785931844195364,61,0.932535231521427,0.0457002941806146,61,108.323550709145,36.5201313990937,63,0.787329708994709,0.10845913259733,62,0.227358947368421,0.092726230888815,62,0.100938612256448,0.0594725976625228,63,75.7781301119234,25.5796898287063,62,1.62534203574828,0.390922121891656,61,1.93310553278603,0.560832736242279,39,53.8974358974359,11.1657249789252,47,18.8866666666667,5.0816338737944,48,27.1413680555555,10.6939393738634,32,5.11766835505486,2.29218699615797
33,35,1.66507936507937,0.41584575216582,35,6.42857142857143,1.73689571439654,52,92.1730175406184,1.18010293750082,53,17.2830188679245,3.94372607144059,52,89.3662493124279,4.87809547342334,51,15.8235294117647,3.12861555550017,48,98.0208333333333,3.21889093714718,48,82.1101364522417,12.4299505634139,50,100,NaN,49,89.1293710466643,11.4002551734165,50,0.794622974245156,0.310278388469039,49,1.55710418577346,0.81788756103717,61,0.932138748510621,0.0487529591239992,63,111.571507725077,42.7405165795616,63,0.782465920754267,0.118893040396047,63,0.224490033416875,0.103574011110493,61,0.102856427749702,0.064256775618683,63,76.4361758334243,26.6517262856573,61,1.62904642116674,0.387639927437268,62,1.98590222463194,0.623046016611235,36,53.6111111111111,11.0796538826233,45,18.4801185185185,4.57388546312384,43,24.7387333333333,4.63794456278999,30,4.46860394852656,1.46546419909855
34,31,1.6594982078853,0.476989430455464,32,6.71875,1.88772563274331,41,92.3311038899842,1.28620889350699,41,17.219512195122,3.98442088089318,41,88.8379679936675,5.5439240155244,40,15.925,3.10819842286451,38,97.8947368421053,3.21137735613098,38,81.3496460449369,13.4125619709481,39,100,NaN,38,89.2720837180671,11.0041346634066,39,0.838128229093447,0.4723688178437,38,1.59519628883467,0.930957945166224,51,0.934908349304634,0.0511145309583657,49,103.451555635584,36.0682505371963,51,0.795310151358789,0.116864196565394,50,0.204080757894737,0.0986874149768686,50,0.0966419634085213,0.0660799204317643,49,75.267919630538,24.2007462923547,51,1.67081591440093,0.410137969264216,50,2.06121694627424,0.663905350179877,28,54.5357142857143,9.51210590406555,35,18.3757628571428,4.05570918069221,34,25.7258441176471,4.94624815549511,28,4.94852777048391,2.63987107657008
35,29,1.5823754789272,0.517681349095054,29,6.48275862068965,1.86357355742694,35,92.3116504687357,1.18558621810618,36,17.25,4.06641295071151,36,86.9927181246468,6.68474254241899,35,16.6857142857143,4.73889679747754,32,97.65625,3.10680185108988,31,83.292774948123,13.6584028758785,32,100,NaN,31,90.0754574608564,11.7619790004022,32,0.795137418300685,0.297228554267915,32,1.67642516887738,1.1511040372606,43,0.935377688407064,0.0498179595349328,41,107.634390940468,41.2284879566722,42,0.793420752476429,0.118442868087694,42,0.209832105263158,0.107407135134963,41,0.0970159068402714,0.0652160004753558,41,74.6727991457136,24.10175998324,43,1.71527915347773,0.42889363618617,41,2.18033096355486,0.628241038025072,21,51.9523809523809,8.35150399913806,29,19.0590724137931,3.81437380163204,29,26.9643816091954,4.96264810260456,23,4.75023778117694,2.0926709371875
36,27,1.6358024691358,0.474500120167796,28,6.21428571428571,2.04318456694523,32,92.2262715771272,1.43808313267967,31,16.7096774193548,3.95974366499564,31,87.2406889552107,6.60493234772548,31,16.6129032258065,4.88315075441283,26,98.2692307692308,2.42582262018792,26,82.9644624381466,16.0986750634902,27,100,NaN,26,89.1284300494827,13.1236435797574,27,0.769283083155263,0.308388695859057,27,1.64057957138361,1.26810450287441,38,0.928325748581981,0.0587339787304116,36,108.133151468632,39.7010451966246,37,0.781251523741787,0.136903197597527,38,0.223818864265928,0.114038576983892,37,0.108472217367744,0.0862871935420008,36,77.1532175436554,23.9320479273207,38,1.72991381434769,0.413385943741585,37,2.30526445715874,0.768577143052605,19,52.4736842105263,6.68637437922685,27,18.3764987654321,3.47963344250931,27,26.8134296296296,4.85005983706442,22,4.81344712317999,2.14949691102336
37,30,1.65555555555556,0.474195785780987,32,6.40625,2.33982870892225,34,92.3714706041281,1.52193169205824,33,16.6666666666667,4.09013039726934,33,87.745863746675,6.48819770923675,33,17.0909090909091,5.11348484624011,29,97.5862068965517,3.16811392042772,29,78.8646904617866,21.5226571161844,29,99.8275862068966,0.928476690885259,28,87.2263993316625,16.8161088005367,29,0.812405765558985,0.46452166222206,29,1.50906510000957,1.24721371549528,40,0.924478383458647,0.0644098622990984,39,108.165602581122,39.2916629885739,39,0.791636558061821,0.130450877220528,41,0.225433003851091,0.121851676931255,38,0.0945751988523941,0.0702996154350774,40,78.4676290876449,25.4971501193628,40,1.72254904267155,0.368986949001659,40,2.25823052858587,0.821127415465865,22,53.7272727272727,7.14597334622339,30,18.5031244444444,3.39723421280065,30,27.1269922222222,4.74996376970803,25,4.58237850445022,2.10916267611798
38,35,1.57619047619048,0.410926851987562,36,6.05555555555556,2.08319047129218,39,92.2324966833929,1.50235794216099,38,16.7368421052632,4.36004097753069,39,88.0844454748838,6.2775242862195,38,17.0526315789474,4.6843463787099,36,97.5,3.68394198806504,34,83.218954248366,16.0787317793867,36,99.8611111111111,0.833333333333332,34,90.4248366013072,12.3258985261438,36,0.781335720019724,0.424240897983397,35,1.31567551131275,0.953092713713146,45,0.920413533834587,0.0646463822592277,44,107.996743562783,42.1816991955809,45,0.777414490114174,0.142187890962212,46,0.231817929061785,0.124798467804626,43,0.0991073529754619,0.0751676281757436,44,74.7811805572182,21.4385008259278,45,1.76514081728706,0.354094642267487,45,2.25559175472447,0.780631721317629,25,53.36,7.15821206726931,37,18.7365468468468,3.50967671315929,37,27.3791387387387,5.10562233416921,33,4.56519766066508,2.01086081621793
39,33,1.55050505050505,0.414197227699973,34,5.82352941176471,2.13868535426866,36,92.1405886723147,1.45055529345388,35,16.5714285714286,4.39441968520849,36,87.7879833294095,6.62082528849714,35,16.7428571428571,4.19623680949307,31,97.258064516129,4.04942581884958,31,81.4261460101868,17.7056279810897,31,99.8387096774194,0.898026510133875,30,91.1578947368421,11.0363288287646,31,0.738811889452362,0.416392580724828,31,1.19706116890547,0.784826393891932,40,0.915198934837093,0.0675961872099685,40,114.847455939148,43.4676859154456,39,0.778333359681254,0.12507110333966,39,0.253231929824561,0.10661188420331,38,0.10037968638702,0.0663171249694609,40,76.4411668781367,24.0012049817596,40,1.82617212191315,0.363305150219237,39,2.18153362522836,0.542184037970433,23,51.8260869565217,8.61105090151362,32,19.4971354166667,3.82911159540061,32,27.6464125,5.16838772606462,29,4.70095408791856,2.0294675900526
40,30,1.53518518518519,0.429956221927571,28,5.71428571428571,1.82284155174039,32,92.005248765043,1.33803524690794,31,16.5161290322581,4.33490459519727,32,87.4924595375921,6.72185757139696,32,17.09375,4.97969668074854,28,96.9548872180451,4.16362066035404,28,81.4003759398496,14.8296737735584,28,100,NaN,28,89.812030075188,11.0912851303215,29,0.756234319643155,0.42426434481831,29,1.21275309739654,0.725959832435013,36,0.923447507658034,0.0506249049489131,38,119.725952523138,45.5031596675278,39,0.744362403765825,0.13887597949565,37,0.270184921763869,0.102345134724335,38,0.121616649188761,0.0793333932607085,38,78.1032858715629,24.2861995746929,38,1.83128007825897,0.44443427168625,37,2.14913023362907,0.553515940714796,21,51,8.75785361832453,28,19.2161488095238,3.62723562738664,28,27.8838107142857,4.94860787101527,23,4.35384579249893,1.40668711238178
41,33,1.63468013468013,0.415050175233179,33,5.66666666666667,1.74403746137136,38,92.0346056707915,1.34017577640759,38,16.6842105263158,4.26871246591322,37,88.2313640157285,6.13469708497344,37,16.7567567567568,4.27138674726894,33,97.719298245614,3.77511595340865,33,82.097288676236,14.628283903471,33,100,NaN,33,90.1435406698565,10.8566767239701,34,0.754099309505133,0.437341376818632,33,1.12001918513749,0.490211076348632,40,0.914714912280702,0.0540983102710115,41,112.939956139634,39.2778814984855,43,0.741206733694702,0.134630407010528,41,0.270912580231065,0.0983109537355921,42,0.124390238691968,0.0774302831768106,41,73.4154521811844,20.0783737331263,42,1.83556058771059,0.461483864485495,41,2.18985610479152,0.652703275901165,26,51.3461538461538,9.39762654159999,34,18.7558470588235,3.26041873384508,34,26.9248274509804,5.00225080624551,29,4.25174647042377,1.49268294400919
42,35,1.57460317460317,0.436810013463304,32,5.375,1.38540782396725,40,92.0827150998213,1.27154428714038,39,16.3333333333333,3.19813542168536,39,88.7746795021336,4.77435363883003,39,17,4.37095677831464,33,97.5677830940989,3.78105235629059,33,82.7033492822967,13.4065764174328,33,100,NaN,33,90.2950558213716,10.0693916790956,34,0.773978134803342,0.434533974315991,33,1.17535256267382,0.507824982250015,37,0.919684346000135,0.0481339154808774,38,111.890284366437,36.5915488833366,38,0.752012246075715,0.111795089566659,38,0.268749459833795,0.0966592533550322,38,0.112340655586334,0.0624353447793974,39,74.6204880242989,20.9387257531382,39,1.85176136671035,0.468430256344258,38,2.1317936109176,0.601828542935132,27,51.2592592592593,9.90956256347525,34,19.0913176470588,3.22373636491162,35,27.3068628571429,5.70909593952642,28,4.33492963582903,1.56374272485748
43,37,1.59159159159159,0.386504199987166,37,5.59459459459459,1.32202411012347,41,91.996161405379,1.27150085029286,40,16.35,3.0763781568758,39,88.6808920242568,5.02456133378472,39,16.1282051282051,3.48817164579086,36,97.4926900584795,4.23044448148495,36,82.6169590643275,12.4455194933286,36,100,NaN,36,89.9926900584795,9.70630980262894,36,0.743459181345163,0.285063113497998,35,1.21734522845284,0.530150445511465,34,0.914803553000148,0.0480066540688294,33,117.301869488272,36.0568198179529,33,0.743136515151515,0.102108643823406,35,0.273135218045113,0.0958222814326432,33,0.125123429027113,0.0611963058575391,35,77.8978615199493,22.1823625340819,33,1.80751641664897,0.392298983139459,32,1.9995463306151,0.404204689250254,24,50.3333333333333,9.8186453801657,34,18.8235117647059,3.21944541658381,36,27.2888972222222,6.10213654829647,30,4.66747365990901,1.84303667500747
44,29,1.66475095785441,0.363842768984736,30,5.66666666666667,1.42231800443752,33,92.0722907617055,1.24347930979596,33,16.4242424242424,2.94777779681474,31,88.881860304854,4.85694908426176,32,16.09375,3.52282305233523,28,97.4906015037594,3.97390827431823,28,82.8289473684211,11.8924908176354,28,100,NaN,28,89.6334586466165,9.80112578821937,28,0.765383975038792,0.313813925342537,27,1.19775048892028,0.553138633273676,28,0.918266648764769,0.0456215142614192,28,125.926465721032,35.2628579074787,28,0.727080782760472,0.100937829378421,27,0.291706725146199,0.0731219899224152,28,0.135978277389903,0.0627887947929997,29,81.3223192342516,23.7695865286156,27,1.79584068541079,0.402445651969141,26,1.96942912378847,0.396800883980417,20,50.5,10.4251719662707,26,18.507808974359,3.03452540985766,28,27.217294047619,6.02817438168918,22,4.72418861848084,1.89791197451964
45,27,1.72222222222222,0.348310261098786,28,5.75,1.45614915800902,31,92.177017241191,1.31415171885684,30,16.1666666666667,2.88973609740469,30,89.5679663937537,4.21076780361048,30,16.3666666666667,3.58621242263058,25,98.3894736842105,2.39666396336197,27,81.6666666666667,12.0096115353815,27,100,NaN,27,88.7037037037037,10.2462556568609,26,0.727018194100954,0.236051714464033,26,1.17411053271763,0.550594796239846,25,0.923731829573935,0.0398595946764176,25,121.548151787482,33.7544516857907,25,0.735109121303258,0.0989761797678003,24,0.288666074561404,0.0729864526241007,24,0.12426535609858,0.0536969092303708,26,79.7359091937944,22.9387735164741,25,1.74774267538454,0.361037925883326,24,2.0279627475718,0.509403716170346,18,50.8888888888889,9.59711285561437,26,19.1173666666667,3.86558903126893,26,27.1002192307692,6.26329962844345,21,4.63513202160275,1.81451249888172
